,Product Name,Prices,Description,Review
542,MOTOROLA 10.5 kg Smart Wi-Fi Enabled Steam Wash Inverter Technology Fully Automatic Front Load Washing...,"₹28,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive and 10 Years on Motor From Motorola,
543,"IFB 8 kg 5 Star 3D Wash System, Triadic Pulsator, Smart Sense 4 years Comprehensive Warranty? Fully Au...","₹23,990","720 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty, 10 Years Motor Warranty, 10 Years Warranty Spares Support",
544,"Godrej 7 kg 5 Star with i-Wash technology Washing Machine Fully Automatic Top Load Black, Grey","₹13,990",720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor,
545,LG 7.5 kg 5 star Semi Automatic Top Load Washing Machine Purple,"₹13,490",1300 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor From LG,
546,"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey","₹9,490",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,
547,realme TechLife 6.5 kg 5 Star Rating with Smart sensors Fully Automatic Top Load Washing Machine Black...,"₹12,190",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,
548,"STARSHINE 7.8 kg Semi Automatic Top Load Washing Machine White, Purple","₹9,134","1350 RPM Max Speed5 Star Rating1 year warranty on product, 5 year on wash motor",
549,IFB 8 kg 5 Star 9 Swirl AI Powered with Wi-Fi 4 years Comprehensive Warranty with 2x Power Steam Fully...,"₹47,490","1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor and 10 Years Spares Support",
550,"BOSCH 8 kg AntiTangle,AntiVibration,1200RPM Fully Automatic Front Load Washing Machine with In-built H...","₹32,990","1200 rpm Max Speed5 Star Rating2 Years Comprehensive on Product , 12 Years on Motor",
551,"Sansui 7 kg Semi Automatic Top Load Washing Machine Red, White","₹7,890",1300 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty On Product and 5 Years on Wash Motor,
552,realme TechLife 7 kg 5 Star Power Clean Fully Automatic Front Load Washing Machine with In-built Heate...,"₹20,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from realme TechLife,
553,Motorola 10.5 kg 5 Star Smart Wi-Fi Enabled Inverter Technology Fully Automatic Front Load with In-bui...,"₹27,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive and 10 Years on Motor From Motorola,
554,"BOSCH 7 kg AntiTangle,AntiVibration,1200RPM Fully Automatic Front Load Washing Machine with In-built H...","₹31,490","1200 RPM Max Speed5 Star Rating2 Years Comprehensive on Product , 12 Years on Motor",
555,"Thomson 7.5 kg Semi Automatic Top Load Washing Machine Black, Grey","₹7,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,
556,ONIDA 6.5 kg 5 Star Fully Automatic Top Load Washing Machine Black,"₹12,490",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor from Onida,
557,"SAMSUNG 7 kg 5 star, Ecobubble, Wi-Fi, Digital Inverter Fully Automatic Top Load Washing Machine with ...","₹21,790","700 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",
